"sampled_at_utc","elapsed_ms","task_count","broker_queue_length","active_workers","pending_outbox_count","completed_last_minute"
"2026-07-10T16:52:44.0170583Z","332.557","0","0","0","0","0"
"2026-07-10T16:52:44.5659620Z","881.46","0","0","0","0","0"
"2026-07-10T16:52:45.1209357Z","1436.434","0","0","0","0","0"
"2026-07-10T16:52:45.6709633Z","1986.462","0","0","0","0","0"
"2026-07-10T16:52:46.2132460Z","2528.744","0","0","0","0","0"
"2026-07-10T16:52:46.7843982Z","3099.897","0","0","0","0","0"
"2026-07-10T16:52:47.3391849Z","3654.683","0","0","0","0","0"
"2026-07-10T16:52:47.9027903Z","4218.289","0","0","0","0","0"
"2026-07-10T16:52:48.4519442Z","4767.442","0","0","0","0","0"
"2026-07-10T16:52:49.0323317Z","5347.83","10","0","0","9","0"
"2026-07-10T16:52:49.5966833Z","5912.182","25","0","2","7","15"
"2026-07-10T16:52:50.1581384Z","6473.637","40","0","2","5","33"
"2026-07-10T16:52:50.7502946Z","7065.793","55","0","3","6","46"
"2026-07-10T16:52:51.3618324Z","7677.331","60","0","0","0","60"
"2026-07-10T16:52:51.9328501Z","8248.348","60","0","0","0","60"
