"sampled_at_utc","elapsed_ms","task_count","broker_queue_length","active_workers","pending_outbox_count","completed_last_minute"
"2026-07-10T16:50:33.7170171Z","392.454","0","0","0","0","0"
"2026-07-10T16:50:34.2783441Z","953.781","0","0","0","0","0"
"2026-07-10T16:50:34.8347788Z","1510.215","0","0","0","0","0"
"2026-07-10T16:50:35.4187523Z","2094.189","0","0","0","0","0"
"2026-07-10T16:50:36.0011324Z","2676.569","0","0","0","0","0"
"2026-07-10T16:50:36.5716115Z","3247.048","0","0","0","0","0"
"2026-07-10T16:50:37.1246029Z","3800.039","0","0","0","0","0"
"2026-07-10T16:50:37.6830848Z","4358.521","0","0","0","0","0"
"2026-07-10T16:50:38.2596949Z","4935.131","0","0","0","0","0"
"2026-07-10T16:50:38.8055645Z","5481.001","0","0","0","0","0"
"2026-07-10T16:50:39.3557885Z","6031.225","15","2","1","7","5"
"2026-07-10T16:50:39.9079103Z","6583.347","28","0","0","10","20"
"2026-07-10T16:50:40.4876526Z","7163.089","40","5","2","1","32"
"2026-07-10T16:50:41.0466238Z","7722.06","55","2","2","5","47"
"2026-07-10T16:50:41.6009203Z","8276.357","70","1","2","8","60"
"2026-07-10T16:50:42.1571879Z","8832.624","70","0","0","0","70"
