"sampled_at_utc","elapsed_ms","task_count","broker_queue_length","active_workers","pending_outbox_count","completed_last_minute"
"2026-07-10T16:50:59.5582106Z","311.182","0","0","0","0","0"
"2026-07-10T16:51:00.1132587Z","866.23","0","0","0","0","0"
"2026-07-10T16:51:00.6691368Z","1422.108","0","0","0","0","0"
"2026-07-10T16:51:01.2209038Z","1973.875","0","0","0","0","0"
"2026-07-10T16:51:01.7614241Z","2514.396","0","0","0","0","0"
"2026-07-10T16:51:02.3167936Z","3069.765","0","0","0","0","0"
"2026-07-10T16:51:02.8713269Z","3624.299","0","0","0","0","0"
"2026-07-10T16:51:03.4264619Z","4179.434","0","0","0","0","0"
"2026-07-10T16:51:03.9841959Z","4737.168","0","0","0","0","0"
"2026-07-10T16:51:04.5520308Z","5305.002","15","3","2","5","6"
"2026-07-10T16:51:05.1379687Z","5890.94","30","4","2","5","18"
"2026-07-10T16:51:05.7344383Z","6487.41","45","8","1","4","32"
"2026-07-10T16:51:06.2891730Z","7042.145","60","9","1","3","46"
"2026-07-10T16:51:06.8443722Z","7597.344","65","3","1","0","60"
"2026-07-10T16:51:07.3976394Z","8150.611","66","0","0","1","65"
