"sampled_at_utc","elapsed_ms","task_count","broker_queue_length","active_workers","pending_outbox_count","completed_last_minute"
"2026-07-10T16:50:06.1706728Z","448.052","0","0","0","0","0"
"2026-07-10T16:50:06.7338953Z","1011.274","0","0","0","0","0"
"2026-07-10T16:50:07.3181918Z","1595.571","0","0","0","0","0"
"2026-07-10T16:50:07.8875257Z","2164.905","0","0","0","0","0"
"2026-07-10T16:50:08.4692421Z","2746.621","0","0","0","0","0"
"2026-07-10T16:50:09.0255617Z","3302.941","0","0","0","0","0"
"2026-07-10T16:50:09.5837893Z","3861.168","0","0","0","0","0"
"2026-07-10T16:50:10.1530615Z","4430.441","0","0","0","0","0"
"2026-07-10T16:50:10.7103308Z","4987.71","0","0","0","0","0"
"2026-07-10T16:50:11.2640931Z","5541.472","1","0","0","5","0"
"2026-07-10T16:50:11.8483922Z","6125.771","20","0","2","7","10"
"2026-07-10T16:50:12.4056069Z","6682.986","34","0","2","5","28"
"2026-07-10T16:50:12.9917115Z","7269.09","46","0","3","2","43"
"2026-07-10T16:50:13.5945374Z","7871.916","62","0","2","9","54"
"2026-07-10T16:50:14.1806464Z","8458.025","70","0","0","0","70"
