"sampled_at_utc","elapsed_ms","task_count","broker_queue_length","active_workers","pending_outbox_count","completed_last_minute"
"2026-07-10T16:51:52.3739654Z","353.396","0","0","0","0","0"
"2026-07-10T16:51:52.9237525Z","903.183","0","0","0","0","0"
"2026-07-10T16:51:53.4764520Z","1455.883","0","0","0","0","0"
"2026-07-10T16:51:54.0183447Z","1997.775","0","0","0","0","0"
"2026-07-10T16:51:54.5728617Z","2552.292","0","0","0","0","0"
"2026-07-10T16:51:55.1224238Z","3101.855","0","0","0","0","0"
"2026-07-10T16:51:55.6951215Z","3674.552","0","0","0","0","0"
"2026-07-10T16:51:56.2462667Z","4225.697","0","0","0","0","0"
"2026-07-10T16:51:56.8113585Z","4790.789","0","0","0","0","0"
"2026-07-10T16:51:57.3604190Z","5339.85","10","0","1","4","5"
"2026-07-10T16:51:57.9274401Z","5906.871","25","0","2","7","15"
"2026-07-10T16:51:58.4773422Z","6456.773","40","0","1","5","35"
"2026-07-10T16:51:59.0304046Z","7009.835","50","0","2","2","45"
"2026-07-10T16:51:59.5966659Z","7576.097","60","0","0","0","60"
"2026-07-10T16:52:00.1501786Z","8129.609","60","0","0","0","60"
