"sampled_at_utc","elapsed_ms","task_count","broker_queue_length","active_workers","pending_outbox_count","completed_last_minute"
"2026-07-10T16:49:39.6076358Z","966.238","0","0","0","0","0"
"2026-07-10T16:49:40.2013508Z","1559.953","0","0","0","0","0"
"2026-07-10T16:49:40.7677051Z","2126.307","0","0","0","0","0"
"2026-07-10T16:49:41.3498855Z","2708.487","0","0","0","0","0"
"2026-07-10T16:49:41.9064562Z","3265.058","0","0","0","0","0"
"2026-07-10T16:49:42.4612390Z","3819.841","0","0","0","0","0"
"2026-07-10T16:49:43.0183376Z","4376.94","0","0","0","0","0"
"2026-07-10T16:49:43.5725418Z","4931.144","0","0","0","0","0"
"2026-07-10T16:49:44.1260487Z","5484.651","10","3","0","5","2"
"2026-07-10T16:49:44.6769222Z","6035.524","25","8","1","8","9"
"2026-07-10T16:49:45.2453043Z","6603.906","35","12","1","5","17"
"2026-07-10T16:49:45.7969115Z","7155.513","50","24","1","2","24"
"2026-07-10T16:49:46.3492238Z","7707.826","65","28","1","5","31"
"2026-07-10T16:49:46.9018962Z","8260.498","70","30","1","0","39"
