"sampled_at_utc","elapsed_ms","task_count","broker_queue_length","active_workers","pending_outbox_count","completed_last_minute"
"2026-07-10T16:53:09.7435873Z","346.099","0","0","0","0","0"
"2026-07-10T16:53:10.2868659Z","889.378","0","0","0","0","0"
"2026-07-10T16:53:10.8419766Z","1444.488","0","0","0","0","0"
"2026-07-10T16:53:11.3979524Z","2000.464","0","0","0","0","0"
"2026-07-10T16:53:11.9382963Z","2540.808","0","0","0","0","0"
"2026-07-10T16:53:12.4795034Z","3082.015","0","0","0","0","0"
"2026-07-10T16:53:13.0310412Z","3633.553","0","0","0","0","0"
"2026-07-10T16:53:13.5813651Z","4183.877","0","0","0","0","0"
"2026-07-10T16:53:14.1348193Z","4737.331","5","1","1","4","0"
"2026-07-10T16:53:14.6844783Z","5286.99","20","8","1","5","6"
"2026-07-10T16:53:15.2331154Z","5835.627","35","14","1","8","13"
"2026-07-10T16:53:15.7873134Z","6389.825","45","19","1","5","20"
"2026-07-10T16:53:16.3536710Z","6956.183","60","28","1","4","28"
"2026-07-10T16:53:16.9164932Z","7519.005","70","34","1","1","35"
"2026-07-10T16:53:17.4696558Z","8072.167","73","26","0","5","43"
