"sampled_at_utc","elapsed_ms","task_count","broker_queue_length","active_workers","pending_outbox_count","completed_last_minute"
"2026-07-10T16:51:26.0843238Z","355.948","0","0","0","0","0"
"2026-07-10T16:51:26.6471074Z","918.732","0","0","0","0","0"
"2026-07-10T16:51:27.2277646Z","1499.389","0","0","0","0","0"
"2026-07-10T16:51:27.7886518Z","2060.276","0","0","0","0","0"
"2026-07-10T16:51:28.3579660Z","2629.59","0","0","0","0","0"
"2026-07-10T16:51:28.9130853Z","3184.71","0","0","0","0","0"
"2026-07-10T16:51:29.4946373Z","3766.262","0","0","0","0","0"
"2026-07-10T16:51:30.0526650Z","4324.289","0","0","0","0","0"
"2026-07-10T16:51:30.6143448Z","4885.969","0","0","0","0","0"
"2026-07-10T16:51:31.1671793Z","5438.804","0","0","0","0","0"
"2026-07-10T16:51:31.7308985Z","6002.523","15","1","2","5","7"
"2026-07-10T16:51:32.2981731Z","6569.797","30","2","1","9","18"
"2026-07-10T16:51:32.8658001Z","7137.424","40","4","2","4","31"
"2026-07-10T16:51:33.4339273Z","7705.552","55","8","1","2","45"
"2026-07-10T16:51:33.9937724Z","8265.397","65","4","2","0","59"
"2026-07-10T16:51:34.5439884Z","8815.613","65","0","0","0","65"
